Epos Code,Description,RRP,COST,WEBSITE,TRADE,ENGINEER,MERCHANT,STAFF,AMAZON,EBAY,Brand,RowStatus
FRANKE-133.0529.038,Franke Spout : BRASS - 133.0529.038,237.50,158.33,225.63,201.88,225.63,175.27,174.17,229.58,229.58,Franke,
FRANKE-133.0529.039,Franke Sprayhead : BRASS - 133.0529.039,237.50,158.33,225.63,201.88,225.63,175.27,174.17,229.58,229.58,Franke,
FRANKE-133.0529.040,Franke Spout : BRASS - 133.0529.040,237.50,158.33,225.63,201.88,225.63,175.27,174.17,229.58,229.58,Franke,
FRANKE-133.0529.053,Franke Aerator : GRAPHITE - 133.0529.053,23.39,15.59,22.22,19.88,22.22,18.25,17.15,22.61,22.61,Franke,
FRANKE-133.0529.054,Franke Aerator : BRASS - 133.0529.054,9.75,6.50,11.48,9.75,11.48,8.25,7.15,11.48,11.48,Franke,
FRANKE-133.0530.771,Franke Handle COLD : CHROME - 133.0530.771,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0530.774,Franke Handle HOT : CHROME - 133.0530.774,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0533.532,Franke Tap Spacer - 133.0533.532,3.70,2.47,6.03,5.13,6.03,3.81,2.71,6.03,6.03,Franke,
FRANKE-133.0534.589,Franke M-box red stopper (Part R) - 133.0534.589,10.00,6.67,11.70,9.95,11.70,8.43,7.33,11.70,11.70,Franke,
FRANKE-133.0537.939,Franke Round Overflow Set - 133.0537.939,14.15,9.43,13.44,12.03,13.44,11.48,10.38,13.68,13.68,Franke,
FRANKE-133.0538.709,Franke Nozzle Key - 133.0538.709,41.20,27.47,39.14,35.02,39.14,31.31,30.21,39.83,39.83,Franke,
FRANKE-133.0538.773,Franke Spout : CHROME - 133.0538.773,126.18,84.12,119.87,107.25,119.87,93.63,92.53,121.97,121.97,Franke,
FRANKE-133.0538.774,Franke Spray Nozzle : CHROME - 133.0538.774,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Franke,
FRANKE-133.0541.139,Franke Lever : CHROME - 133.0541.139,22.23,14.82,21.11,18.89,21.11,17.40,16.30,21.48,21.48,Franke,
FRANKE-133.0541.161,Franke Cartridge Cover : CHROME - 133.0541.161,13.33,8.88,12.66,11.33,12.66,10.87,9.77,12.88,12.88,Franke,
FRANKE-133.0541.163,Franke Cartridge Locking Ring - 133.0541.163,3.63,2.42,5.96,5.07,5.96,3.76,2.66,5.96,5.96,Franke,
FRANKE-133.0541.164,Franke Cartridge - 133.0541.164,16.81,11.21,15.97,14.29,15.97,13.43,12.33,16.25,16.25,Franke,
FRANKE-133.0541.165,Franke Spout : CHROME - 133.0541.165,45.95,30.63,43.65,39.06,43.65,34.80,33.70,44.42,44.42,Franke,
FRANKE-133.0541.167,Franke O - Ring Kit - 133.0541.167,0.70,0.47,3.33,2.83,3.33,1.61,0.51,3.33,3.33,Franke,
FRANKE-133.0541.168,Franke Flexible Hose - 133.0541.168,19.26,12.84,18.30,16.37,18.30,15.23,14.13,18.62,18.62,Franke,
FRANKE-133.0541.170,Franke Sprayhead : CHROME - 133.0541.170,29.56,19.71,28.08,25.13,28.08,22.78,21.68,28.58,28.58,Franke,
FRANKE-133.0541.175,Franke Non Return Valve - 133.0541.175,4.25,2.83,6.53,5.55,6.53,4.22,3.12,6.53,6.53,Franke,
FRANKE-133.0541.176,Franke Aerator Key - 133.0541.176,7.41,4.94,9.37,7.97,9.37,6.54,5.44,9.37,9.37,Franke,
FRANKE-133.0541.179,Franke Weight - 133.0541.179,8.90,5.93,10.71,9.10,10.71,7.63,6.53,10.71,10.71,Franke,
FRANKE-133.0541.181,Franke Tap Fixing Nut - 133.0541.181,3.63,2.42,5.96,5.07,5.96,3.76,2.66,5.96,5.96,Franke,
FRANKE-133.0541.182,Franke Fixing Kit - 133.0541.182,4.44,2.96,6.69,5.69,6.69,4.35,3.25,6.69,6.69,Franke,
FRANKE-133.0542.753,Franke Spout : CHROME - 133.0542.753,92.70,61.80,88.07,78.80,88.07,69.08,67.98,89.61,89.61,Franke,
FRANKE-133.0542.754,Franke Spout : SILKSTEEL - 133.0542.754,92.70,61.80,88.07,78.80,88.07,69.08,67.98,89.61,89.61,Franke,
