Epos Code,Description,RRP,COST,WEBSITE,TRADE,ENGINEER,MERCHANT,STAFF,AMAZON,EBAY,Brand,RowStatus
FRANKE-133.0578.253,Franke Boiling Valve with spring - 133.0578.253,43.75,29.17,41.56,37.19,41.56,33.18,32.08,42.29,42.29,Franke,
FRANKE-133.0578.440,Franke Adaptor M-box tank to pre M-box tap - 133.0578.440,12.50,8.33,11.88,10.63,11.88,10.27,9.17,12.08,12.08,Franke,
FRANKE-133.0583.675,Franke Lever : Industrial Black - 133.0583.675,87.50,58.33,83.13,74.38,83.13,65.27,64.17,84.58,84.58,Franke,
FRANKE-133.0583.676,Franke Cartridge Cover : Industrial Black - 133.0583.676,15.00,10.00,14.25,12.75,14.25,12.10,11.00,14.50,14.50,Franke,
FRANKE-133.0583.677,Franke Spout : Industrial Black - 133.0583.677,175.00,116.67,166.25,148.75,166.25,129.43,128.33,169.17,169.17,Franke,
FRANKE-133.0583.678,Franke Spout : Industrial Black - 133.0583.678,150.00,100.00,142.50,127.50,142.50,111.10,110.00,145.00,145.00,Franke,
FRANKE-133.0583.679,Franke Sprayhead : Industrial Black - 133.0583.679,112.50,75.00,106.88,95.63,106.88,83.60,82.50,108.75,108.75,Franke,
FRANKE-133.0583.680,Franke Spout - Industrial Black - 133.0583.680,135.00,90.00,128.25,114.75,128.25,100.10,99.00,130.50,130.50,Franke,
FRANKE-133.0583.681,Franke Cartridge Cover - Industrial Black - 133.0583.681,3.63,2.42,5.96,5.07,5.96,3.76,2.66,5.96,5.96,Franke,
FRANKE-133.0583.682,Franke Handle - Industrial Black - 133.0583.682,60.00,40.00,57.00,51.00,57.00,45.10,44.00,58.00,58.00,Franke,
FRANKE-133.0583.683,Franke Sprayhead - Industrial Black - 133.0583.683,115.63,77.08,109.84,98.28,109.84,85.89,84.79,111.77,111.77,Franke,
FRANKE-133.0583.684,Franke Spout - Industrial Black - 133.0583.684,120.00,80.00,114.00,102.00,114.00,89.10,88.00,116.00,116.00,Franke,
FRANKE-133.0585.195,Franke Soap Dispenser Head - Chrome - 133.0585.195,53.84,35.89,51.15,45.76,51.15,40.58,39.48,52.04,52.04,Franke,
FRANKE-133.0585.196,Franke Soap Dispenser Head - Silksteel - 133.0585.196,114.60,76.40,108.87,97.41,108.87,85.14,84.04,110.78,110.78,Franke,
FRANKE-133.0585.198,Franke Soap Dispenser Head - Smoked Shiny - 133.0585.198,79.33,52.88,75.36,67.43,75.36,59.27,58.17,76.68,76.68,Franke,
FRANKE-133.0585.200,Franke Soap Dispenser Head - Gunmetal - 133.0585.200,79.33,52.88,75.36,67.43,75.36,59.27,58.17,76.68,76.68,Franke,
FRANKE-133.0585.212,Franke Soap Dispenser Head - Matte Black - 133.0585.212,79.33,52.88,75.36,67.43,75.36,59.27,58.17,76.68,76.68,Franke,
FRANKE-133.0585.214,Franke Soap Dispenser Cover Plate & Pump - Chrome - 133.0585.214,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0585.215,Franke Soap Dispenser Cover Plate & Pump - Silksteel - 133.0585.215,48.93,32.62,46.48,41.59,46.48,36.98,35.88,47.29,47.29,Franke,
FRANKE-133.0585.218,Franke Soap Dispenser Cover Plate & Pump - Smoked Shiny - 133.0585.218,70.80,47.20,67.26,60.18,67.26,53.02,51.92,68.44,68.44,Franke,
FRANKE-133.0585.219,Franke Soap Dispenser Cover Plate & Pump - Bronze - 133.0585.219,32.58,21.72,30.95,27.69,30.95,24.99,23.89,31.49,31.49,Franke,
FRANKE-133.0585.220,Franke Soap Dispenser Cover Plate & Pump - Gunmetal - 133.0585.220,32.58,21.72,30.95,27.69,30.95,24.99,23.89,31.49,31.49,Franke,
FRANKE-133.0585.223,Franke Soap Dispenser Cover Plate & Pump - Matte Black - 133.0585.223,32.58,21.72,30.95,27.69,30.95,24.99,23.89,31.49,31.49,Franke,
FRANKE-133.0586.906,Franke Cartridge Cover : Matte Black - 133.0586.906,14.49,9.66,13.76,12.31,13.76,11.72,10.62,14.00,14.00,Franke,
FRANKE-133.0587.464,Franke Filter Capsule Housing : CHROME - 133.0587.464,46.03,30.68,43.72,39.12,43.72,34.85,33.75,44.49,44.49,Franke,
FRANKE-133.0587.466,Franke Filter Housing O-Ring - 133.0587.466,5.00,3.33,7.20,6.12,7.20,4.77,3.67,7.20,7.20,Franke,
FRANKE-133.0587.467,Franke Valve (For Capsule Filter) - 133.0587.467,30.60,20.40,29.07,26.01,29.07,23.54,22.44,29.58,29.58,Franke,
FRANKE-133.0587.468,Franke Electric Flow Meter - 133.0587.468,58.44,38.96,55.52,49.67,55.52,43.95,42.85,56.49,56.49,Franke,
FRANKE-133.0587.469,Franke Filter Handle : GUN METAL - 133.0587.469,20.76,13.84,19.72,17.65,19.72,16.33,15.23,20.07,20.07,Franke,
FRANKE-133.0587.541,Franke Plinth : CHROME - 133.0587.541,7.43,4.95,9.38,7.98,9.38,6.55,5.45,9.38,9.38,Franke,
FRANKE-133.0587.544,Franke Handle : CHROME - 133.0587.544,42.98,28.65,40.83,36.53,40.83,32.62,31.52,41.54,41.54,Franke,
FRANKE-133.0587.545,Franke Spout : CHROME - 133.0587.545,132.28,88.18,125.66,112.43,125.66,98.10,97.00,127.87,127.87,Franke,
FRANKE-133.0587.546,Franke Sprayhead : CHROME - 133.0587.546,73.38,48.92,69.71,62.37,69.71,54.91,53.81,70.93,70.93,Franke,
FRANKE-133.0587.547,Franke Flexible Tail : COLD - 133.0587.547,11.76,7.84,13.29,11.29,13.29,9.73,8.63,13.29,13.29,Franke,
FRANKE-133.0587.548,Franke Flexible Tail : HOT - 133.0587.548,11.76,7.84,13.29,11.29,13.29,9.73,8.63,13.29,13.29,Franke,
FRANKE-133.0587.549,Franke Filter Handle : MATT BLACK - 133.0587.549,30.69,20.46,29.15,26.08,29.15,23.60,22.50,29.66,29.66,Franke,
FRANKE-133.0587.550,Franke Flexible Tail - 133.0587.550,7.43,4.95,9.38,7.98,9.38,6.55,5.45,9.38,9.38,Franke,
FRANKE-133.0587.552,Franke Spout : CHROME - 133.0587.552,84.46,56.31,80.24,71.79,80.24,63.04,61.94,81.65,81.65,Franke,
FRANKE-133.0587.553,Franke Aerator : CHROME - 133.0587.553,7.40,4.93,9.36,7.96,9.36,6.53,5.43,9.36,9.36,Franke,
FRANKE-133.0588.873,Franke Filter Capsule Housing : SILKSTEEL - 133.0588.873,53.84,35.89,51.15,45.76,51.15,40.58,39.48,52.04,52.04,Franke,
FRANKE-133.0589.733,Franke Handle : MATT BLACK - 133.0589.733,42.98,28.65,40.83,36.53,40.83,32.62,31.52,41.54,41.54,Franke,
FRANKE-133.0589.734,Franke Spout : MATT BLACK - 133.0589.734,84.46,56.31,80.24,71.79,80.24,63.04,61.94,81.65,81.65,Franke,
FRANKE-133.0589.788,Franke Plinth : MATT BLACK - 133.0589.788,10.36,6.91,12.03,10.22,12.03,8.70,7.60,12.03,12.03,Franke,
FRANKE-133.0589.790,Franke Sprayhead : MATT BLACK - 133.0589.790,103.13,68.75,97.97,87.66,97.97,76.73,75.63,99.69,99.69,Franke,
FRANKE-133.0591.762,Franke Aerator : MATT BLACK - 133.0591.762,8.90,5.93,10.71,9.10,10.71,7.63,6.53,10.71,10.71,Franke,
FRANKE-133.0591.763,Franke Spout : MATT BLACK - 133.0591.763,117.78,78.52,111.89,100.11,111.89,87.47,86.37,113.85,113.85,Franke,
FRANKE-133.0592.323,Franke Handle Hot : Silksteel - 133.0592.323,43.78,29.18,41.59,37.21,41.59,33.20,32.10,42.32,42.32,Franke,
FRANKE-133.0592.324,Franke Handle Cold : Silksteel - 133.0592.324,43.78,29.18,41.59,37.21,41.59,33.20,32.10,42.32,42.32,Franke,
FRANKE-133.0592.330,Franke Flexible Tails : HOT & COLD - 133.0592.330,22.65,15.10,21.52,19.25,21.52,17.71,16.61,21.90,21.90,Franke,
FRANKE-133.0599.667,Franke O-Ring Kit - 133.0599.667,2.56,1.71,5.01,4.26,5.01,2.98,1.88,5.01,5.01,Franke,
FRANKE-133.0599.668,Franke Spout : Stainless Steel - 133.0599.668,46.34,30.89,44.02,39.39,44.02,35.08,33.98,44.79,44.79,Franke,
FRANKE-133.0599.669,Franke Aerator Complete - 133.0599.669,5.13,3.42,7.31,6.22,7.31,4.86,3.76,7.31,7.31,Franke,
FRANKE-133.0599.670,Franke Aerator - 133.0599.670,3.85,2.57,6.17,5.24,6.17,3.92,2.82,6.17,6.17,Franke,
FRANKE-133.0599.701,Franke Spout : Stainless Steel - 133.0599.701,43.78,29.18,41.59,37.21,41.59,33.20,32.10,42.32,42.32,Franke,
FRANKE-133.0599.702,Franke Sprayhead - 133.0599.702,79.81,53.21,75.82,67.84,75.82,59.63,58.53,77.15,77.15,Franke,
FRANKE-133.0599.703,Franke Flexible Hose - 133.0599.703,15.44,10.29,14.67,13.12,14.67,12.42,11.32,14.92,14.92,Franke,
FRANKE-133.0601.092,Franke Aerator - 133.0601.092,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0602.970,Franke Mains cold to M-Box flexi hose - 133.0602.970,18.75,12.50,17.81,15.94,17.81,14.85,13.75,18.13,18.13,Franke,
FRANKE-133.0604.272,Franke waste strap only - 133.0604.272,6.25,4.17,8.33,7.08,8.33,5.68,4.58,8.33,8.33,Franke,
FRANKE-133.0605.883,Franke Handle : Chrome - 133.0605.883,40.41,26.94,38.39,34.35,38.39,30.74,29.64,39.07,39.07,Franke,
FRANKE-133.0605.884,Franke Handle : Decor Steel - 133.0605.884,77.24,51.49,73.38,65.65,73.38,57.74,56.64,74.66,74.66,Franke,
FRANKE-133.0607.349,Franke Handle COLD : BLACK - 133.0607.349,42.61,28.41,40.48,36.22,40.48,32.35,31.25,41.19,41.19,Franke,
FRANKE-133.0607.350,Franke Handle HOT : BLACK - 133.0607.350,42.61,28.41,40.48,36.22,40.48,32.35,31.25,41.19,41.19,Franke,
FRANKE-133.0607.401,Franke Spout : BLACK - 133.0607.401,87.99,58.66,83.59,74.79,83.59,65.62,64.52,85.05,85.05,Franke,
FRANKE-133.0607.402,Franke Aerator : BLACK - 133.0607.402,85.13,56.75,80.87,72.36,80.87,63.53,62.43,82.29,82.29,Franke,
FRANKE-133.0607.408,Franke Plinth : BLACK - 133.0607.408,21.99,14.66,20.89,18.69,20.89,17.22,16.12,21.25,21.25,Franke,
FRANKE-133.0607.475,Franke Handle COLD : SMOKEY MIRROR - 133.0607.475,53.63,35.75,50.94,45.58,50.94,40.43,39.33,51.84,51.84,Franke,
FRANKE-133.0607.571,Franke Handle HOT : SMOKEY MIRROR - 133.0607.571,53.63,35.75,50.94,45.58,50.94,40.43,39.33,51.84,51.84,Franke,
FRANKE-133.0607.572,Franke Aerator : SMOKEY MIRROR - 133.0607.572,11.01,7.34,12.61,10.72,12.61,9.18,8.08,12.61,12.61,Franke,
FRANKE-133.0607.573,Franke Spout : SMOKEY MIRROR - 133.0607.573,189.75,126.50,180.26,161.29,180.26,140.25,139.15,183.43,183.43,Franke,
FRANKE-133.0607.574,Franke Plinth : SMOKEY MIRROR - 133.0607.574,27.03,18.02,25.67,22.97,25.67,20.92,19.82,26.12,26.12,Franke,
FRANKE-133.0607.791,Franke Handle COLD : BRASS - 133.0607.791,41.25,27.50,39.19,35.06,39.19,31.35,30.25,39.88,39.88,Franke,
FRANKE-133.0607.792,Franke Handle HOT : BRASS - 133.0607.792,42.61,28.41,40.48,36.22,40.48,32.35,31.25,41.19,41.19,Franke,
FRANKE-133.0607.793,Franke Spout : BRASS - 133.0607.793,204.20,136.13,193.99,173.57,193.99,150.85,149.75,197.39,197.39,Franke,
FRANKE-133.0607.794,Franke Aerator : BRASS - 133.0607.794,11.01,7.34,12.61,10.72,12.61,9.18,8.08,12.61,12.61,Franke,
FRANKE-133.0607.795,Franke Plinth : BRASS - 133.0607.795,21.99,14.66,20.89,18.69,20.89,17.22,16.12,21.25,21.25,Franke,
FRANKE-133.0607.797,Franke Handle COLD : GRAPHITE - 133.0607.797,53.63,35.75,50.94,45.58,50.94,40.43,39.33,51.84,51.84,Franke,
FRANKE-133.0607.798,Franke Handle HOT : GRAPHITE - 133.0607.798,53.63,35.75,50.94,45.58,50.94,40.43,39.33,51.84,51.84,Franke,
FRANKE-133.0607.799,Franke Spout : GRAPHITE - 133.0607.799,189.75,126.50,180.26,161.29,180.26,140.25,139.15,183.43,183.43,Franke,
FRANKE-133.0607.800,Franke Aerator : GRAPHITE - 133.0607.800,11.01,7.34,12.61,10.72,12.61,9.18,8.08,12.61,12.61,Franke,
FRANKE-133.0607.801,Franke Plinth : GRAPHITE - 133.0607.801,26.11,17.41,24.81,22.20,24.81,20.25,19.15,25.24,25.24,Franke,
FRANKE-133.0607.802,Franke Aerator - 133.0607.802,15.30,10.20,14.54,13.01,14.54,12.32,11.22,14.79,14.79,Franke,
FRANKE-133.0607.803,Franke Handle - 133.0607.803,17.00,11.33,16.15,14.45,16.15,13.57,12.47,16.43,16.43,Franke,
FRANKE-133.0607.804,Franke Cartridge Locking Ring - 133.0607.804,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0607.805,Franke Plastic Insert - 133.0607.805,4.25,2.83,6.53,5.55,6.53,4.22,3.12,6.53,6.53,Franke,
FRANKE-133.0607.806,Franke Cartridge Cover - 133.0607.806,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0607.807,Franke Spout Retaining Screw - 133.0607.807,7.10,4.73,9.09,7.73,9.09,6.31,5.21,9.09,9.09,Franke,
FRANKE-133.0607.808,Franke Spout Retaining Screw - 133.0607.808,7.10,4.73,9.09,7.73,9.09,6.31,5.21,9.09,9.09,Franke,
FRANKE-133.0607.809,Franke Spout Retaining Screw - 133.0607.809,5.65,3.77,7.79,6.62,7.79,5.24,4.14,7.79,7.79,Franke,
FRANKE-133.0607.810,Franke Valve Cover - 133.0607.810,25.50,17.00,24.23,21.68,24.23,19.80,18.70,24.65,24.65,Franke,
FRANKE-133.0607.811,Franke Cartridge Cover - 133.0607.811,5.65,3.77,7.79,6.62,7.79,5.24,4.14,7.79,7.79,Franke,
FRANKE-133.0607.812,Franke Cartridge Locking Ring - 133.0607.812,5.65,3.77,7.79,6.62,7.79,5.24,4.14,7.79,7.79,Franke,
FRANKE-133.0607.813,Franke Valve Cover - 133.0607.813,29.75,19.83,28.26,25.29,28.26,22.92,21.82,28.76,28.76,Franke,
FRANKE-133.0607.814,Franke Spout Retaining Screw - 133.0607.814,8.50,5.67,10.35,8.80,10.35,7.33,6.23,10.35,10.35,Franke,
FRANKE-133.0607.815,Franke Handle - 133.0607.815,21.24,14.16,20.18,18.05,20.18,16.67,15.57,20.53,20.53,Franke,
FRANKE-133.0607.816,Franke Plinth : CHROME - 133.0607.816,14.15,9.43,13.44,12.03,13.44,11.48,10.38,13.68,13.68,Franke,
FRANKE-133.0607.817,Franke Aerator - 133.0607.817,42.50,28.33,40.38,36.13,40.38,32.27,31.17,41.08,41.08,Franke,
FRANKE-133.0607.818,Franke Cartridge Locking Ring - 133.0607.818,14.15,9.43,13.44,12.03,13.44,11.48,10.38,13.68,13.68,Franke,
FRANKE-133.0607.819,Franke Cartridge (25mm) - 133.0607.819,32.58,21.72,30.95,27.69,30.95,24.99,23.89,31.49,31.49,Franke,
FRANKE-133.0607.820,Franke Spout COMPLETE - 133.0607.820,70.83,47.22,67.28,60.20,67.28,53.04,51.94,68.46,68.46,Franke,
FRANKE-133.0607.821,Franke O - Ring Kit & Screw - 133.0607.821,12.75,8.50,12.11,10.84,12.11,10.45,9.35,12.33,12.33,Franke,
FRANKE-133.0607.822,Franke Handle - 133.0607.822,45.33,30.22,43.06,38.53,43.06,34.34,33.24,43.81,43.81,Franke,
FRANKE-133.0607.823,Franke Plinth - 133.0607.823,15.59,10.39,14.81,13.25,14.81,12.53,11.43,15.07,15.07,Franke,
FRANKE-133.0607.824,Franke Fixing Kit - 133.0607.824,17.00,11.33,16.15,14.45,16.15,13.57,12.47,16.43,16.43,Franke,
FRANKE-133.0607.825,Franke Sprayhead - 133.0607.825,42.50,28.33,40.38,36.13,40.38,32.27,31.17,41.08,41.08,Franke,
FRANKE-133.0607.826,Franke Spout COMPLETE - 133.0607.826,70.83,47.22,67.28,60.20,67.28,53.04,51.94,68.46,68.46,Franke,
FRANKE-133.0607.827,Franke O - Ring Kit - 133.0607.827,12.75,8.50,12.11,10.84,12.11,10.45,9.35,12.33,12.33,Franke,
FRANKE-133.0607.828,Franke Flexible Tail (Hose Connector) - 133.0607.828,14.15,9.43,13.44,12.03,13.44,11.48,10.38,13.68,13.68,Franke,
FRANKE-133.0607.829,Franke Flexible Hose - 133.0607.829,32.58,21.72,30.95,27.69,30.95,24.99,23.89,31.49,31.49,Franke,
FRANKE-133.0607.830,Franke Weight - 133.0607.830,15.59,10.39,14.81,13.25,14.81,12.53,11.43,15.07,15.07,Franke,
FRANKE-133.0607.831,Franke Spout : CHROME/GREY - 133.0607.831,277.74,185.16,263.85,236.08,263.85,204.77,203.67,268.48,268.48,Franke,
FRANKE-133.0607.832,Franke Spout : CHROME/RED - 133.0607.832,277.74,185.16,263.85,236.08,263.85,204.77,203.67,268.48,268.48,Franke,
FRANKE-133.0607.833,Franke Spout : CHROME/WHITE - 133.0607.833,277.74,185.16,263.85,236.08,263.85,204.77,203.67,268.48,268.48,Franke,
FRANKE-133.0607.834,Franke Spout - 133.0607.834,60.89,40.59,57.84,51.75,57.84,45.75,44.65,58.86,58.86,Franke,
FRANKE-133.0607.835,Franke Fixing Kit - 133.0607.835,12.75,8.50,12.11,10.84,12.11,10.45,9.35,12.33,12.33,Franke,
FRANKE-133.0607.836,Franke Spout COMPLETE - 133.0607.836,97.73,65.15,92.84,83.07,92.84,72.77,71.67,94.47,94.47,Franke,
FRANKE-133.0607.837,Franke Plinth - 133.0607.837,42.50,28.33,40.38,36.13,40.38,32.27,31.17,41.08,41.08,Franke,
FRANKE-133.0607.838,Franke Spout - Chrome - 133.0607.838,83.56,55.71,79.38,71.03,79.38,62.38,61.28,80.78,80.78,Franke,
FRANKE-133.0607.839,Franke Handle : HOT - 133.0607.839,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0607.840,Franke Handle : COLD - 133.0607.840,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0607.841,Franke Aerator : CHROME - 133.0607.841,12.75,8.50,12.11,10.84,12.11,10.45,9.35,12.33,12.33,Franke,
FRANKE-133.0607.842,Franke Aerator : SILKSTEEL - 133.0607.842,20.54,13.69,19.51,17.46,19.51,16.16,15.06,19.85,19.85,Franke,
FRANKE-133.0607.843,Franke Spout : CHROME - 133.0607.843,93.48,62.32,88.80,79.45,88.80,69.65,68.55,90.36,90.36,Franke,
FRANKE-133.0607.844,Franke Spout : SILKSTEEL - 133.0607.844,120.59,80.39,114.56,102.50,114.56,89.53,88.43,116.57,116.57,Franke,
FRANKE-133.0607.845,Franke Handle : HOT - 133.0607.845,33.99,22.66,32.29,28.89,32.29,26.02,24.92,32.85,32.85,Franke,
FRANKE-133.0607.846,Franke Handle : COLD - 133.0607.846,33.99,22.66,32.29,28.89,32.29,26.02,24.92,32.85,32.85,Franke,
FRANKE-133.0607.847,Franke Plinth - 133.0607.847,14.15,9.43,13.44,12.03,13.44,11.48,10.38,13.68,13.68,Franke,
FRANKE-133.0607.848,Franke Spout COMPLETE - 133.0607.848,166.36,110.91,158.04,141.41,158.04,123.10,122.00,160.82,160.82,Franke,
FRANKE-133.0607.849,Franke Spout (Not Including Sprayhead) - 133.0607.849,207.90,138.60,197.51,176.72,197.51,153.56,152.46,200.97,200.97,Franke,
FRANKE-133.0607.850,Franke Spout COMPLETE - 133.0607.850,185.63,123.75,176.34,157.78,176.34,137.23,136.13,179.44,179.44,Franke,
FRANKE-133.0607.851,Franke Fixing Kit - 133.0607.851,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0607.852,Franke Flexible Tails ( HOT & COLD) - 133.0607.852,39.65,26.43,37.67,33.70,37.67,30.18,29.08,38.33,38.33,Franke,
FRANKE-133.0607.853,Franke Cartridge Locking Ring & Cover - 133.0607.853,9.90,6.60,11.61,9.87,11.61,8.36,7.26,11.61,11.61,Franke,
FRANKE-133.0607.854,Franke O - Ring Kit - 133.0607.854,13.78,9.18,13.09,11.71,13.09,11.20,10.10,13.32,13.32,Franke,
FRANKE-133.0607.855,Franke Handle HOT : CHROME - 133.0607.855,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0607.856,Franke Handle HOT : SILKSTEEL - 133.0607.856,38.24,25.49,36.33,32.50,36.33,29.14,28.04,36.96,36.96,Franke,
FRANKE-133.0607.857,Franke Handle COLD : CHROME - 133.0607.857,26.90,17.93,25.56,22.87,25.56,20.83,19.73,26.00,26.00,Franke,
FRANKE-133.0607.859,Franke Handle COLD : SILKSTEEL - 133.0607.859,38.24,25.49,36.33,32.50,36.33,29.14,28.04,36.96,36.96,Franke,
FRANKE-133.0607.860,Franke Handle : HOT - 133.0607.860,35.40,23.60,33.63,30.09,33.63,27.06,25.96,34.22,34.22,Franke,
FRANKE-133.0607.861,Franke Handle : COLD - 133.0607.861,35.40,23.60,33.63,30.09,33.63,27.06,25.96,34.22,34.22,Franke,
FRANKE-133.0607.862,Franke Spout Complete - 133.0607.862,96.31,64.21,91.50,81.87,91.50,71.73,70.63,93.10,93.10,Franke,
FRANKE-133.0607.863,Franke Plinth - 133.0607.863,48.14,32.09,45.73,40.92,45.73,36.40,35.30,46.53,46.53,Franke,
FRANKE-133.0607.864,Franke Valves (HOT AND COLD) - 133.0607.864,46.74,31.16,44.40,39.73,44.40,35.37,34.27,45.18,45.18,Franke,
FRANKE-133.0607.865,Franke Sprayhead - 133.0607.865,72.23,48.15,68.61,61.39,68.61,54.07,52.97,69.82,69.82,Franke,
FRANKE-133.0607.866,Franke Sprayhead - 133.0607.866,74.31,49.54,70.60,63.17,70.60,55.60,54.50,71.84,71.84,Franke,
FRANKE-133.0607.867,Franke O - Ring Kit - 133.0607.867,10.71,7.14,12.34,10.49,12.34,8.96,7.86,12.34,12.34,Franke,
FRANKE-133.0607.868,Franke O - Ring Kit - 133.0607.868,9.90,6.60,11.61,9.87,11.61,8.36,7.26,11.61,11.61,Franke,
FRANKE-133.0607.869,Franke O - Ring Kit - 133.0607.869,9.90,6.60,11.61,9.87,11.61,8.36,7.26,11.61,11.61,Franke,
FRANKE-133.0607.871,Franke O - Ring Kit - 133.0607.871,9.90,6.60,11.61,9.87,11.61,8.36,7.26,11.61,11.61,Franke,
FRANKE-133.0607.872,Franke Fixing Kit - 133.0607.872,28.34,18.89,26.92,24.09,26.92,21.88,20.78,27.39,27.39,Franke,
FRANKE-133.0607.873,Franke Valves : (HOT & COLD) - 133.0607.873,48.38,32.25,45.96,41.12,45.96,36.58,35.48,46.76,46.76,Franke,
FRANKE-133.0607.874,Franke Valves (HOT & COLD) - 133.0607.874,48.38,32.25,45.96,41.12,45.96,36.58,35.48,46.76,46.76,Franke,
FRANKE-133.0607.875,Franke Valves : (HOT & COLD) - 133.0607.875,48.38,32.25,45.96,41.12,45.96,36.58,35.48,46.76,46.76,Franke,
FRANKE-133.0607.876,Franke Flexible Tails (HOT & COLD) - 133.0607.876,35.40,23.60,33.63,30.09,33.63,27.06,25.96,34.22,34.22,Franke,
FRANKE-133.0607.877,Franke Fixing Kit - 133.0607.877,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0607.878,Franke O - Ring Kit - 133.0607.878,24.09,16.06,22.88,20.47,22.88,18.76,17.66,23.28,23.28,Franke,
FRANKE-133.0607.879,Franke Handle : CHROME - 133.0607.879,46.74,31.16,44.40,39.73,44.40,35.37,34.27,45.18,45.18,Franke,
FRANKE-133.0607.880,Franke Flexible Tails (HOT AND COLD) - 133.0607.880,38.24,25.49,36.33,32.50,36.33,29.14,28.04,36.96,36.96,Franke,
FRANKE-133.0607.881,Franke Flexible Tails (HOT AND COLD) - 133.0607.881,25.50,17.00,24.23,21.68,24.23,19.80,18.70,24.65,24.65,Franke,
FRANKE-133.0607.882,Franke Cartridge (35mm) - 133.0607.882,21.99,14.66,20.89,18.69,20.89,17.22,16.12,21.25,21.25,Franke,
FRANKE-133.0607.883,Franke Fixing Kit - 133.0607.883,4.25,2.83,6.53,5.55,6.53,4.22,3.12,6.53,6.53,Franke,
FRANKE-133.0612.186,Franke Spout : CHROME - 133.0612.186,99.00,66.00,94.05,84.15,94.05,73.70,72.60,95.70,95.70,Franke,
FRANKE-133.0612.187,Franke Spout : SILKSTEEL - 133.0612.187,115.50,77.00,109.73,98.18,109.73,85.80,84.70,111.65,111.65,Franke,
FRANKE-133.0612.188,Franke Spout : GRAPHITE - 133.0612.188,151.26,100.84,143.70,128.57,143.70,112.03,110.93,146.22,146.22,Franke,
FRANKE-133.0612.189,Franke Spout : SMOKEY MIRROR - 133.0612.189,122.39,81.59,116.27,104.03,116.27,90.85,89.75,118.31,118.31,Franke,
FRANKE-133.0612.190,Franke Spout : BRASS - 133.0612.190,127.88,85.25,121.48,108.69,121.48,94.88,93.78,123.61,123.61,Franke,
FRANKE-133.0612.201,Franke Handle HOT : GRAPHITE - 133.0612.201,45.38,30.25,43.11,38.57,43.11,34.38,33.28,43.86,43.86,Franke,
FRANKE-133.0612.204,Franke Handle COLD : GRAPHITE - 133.0612.204,45.38,30.25,43.11,38.57,43.11,34.38,33.28,43.86,43.86,Franke,
FRANKE-133.0612.205,Franke Handle HOT : SMOKEY MIRROR - 133.0612.205,28.88,19.25,27.43,24.54,27.43,22.28,21.18,27.91,27.91,Franke,
FRANKE-133.0612.236,Franke Handle COLD : SMOKEY MIRROR - 133.0612.236,28.88,19.25,27.43,24.54,27.43,22.28,21.18,27.91,27.91,Franke,
FRANKE-133.0612.280,Franke Handle HOT : BRASS - 133.0612.280,38.49,25.66,36.56,32.71,36.56,29.32,28.22,37.20,37.20,Franke,
FRANKE-133.0612.301,Franke Handle COLD : BRASS - 133.0612.301,38.49,25.66,36.56,32.71,36.56,29.32,28.22,37.20,37.20,Franke,
FRANKE-133.0612.302,Franke Plinth : GRAPHITE - 133.0612.302,15.14,10.09,14.38,12.87,14.38,12.20,11.10,14.63,14.63,Franke,
FRANKE-133.0612.303,Franke Plinth : SMOKEY MIRROR - 133.0612.303,13.74,9.16,13.05,11.68,13.05,11.17,10.07,13.28,13.28,Franke,
FRANKE-133.0612.304,Franke Plinth : BRASS - 133.0612.304,13.74,9.16,13.05,11.68,13.05,11.17,10.07,13.28,13.28,Franke,
FRANKE-133.0612.343,Franke Antisplash : MATT BLACK - 133.0612.343,12.38,8.25,11.76,10.52,11.76,10.18,9.08,11.96,11.96,Franke,
FRANKE-133.0612.344,Franke Spout : MATT BLACK - 133.0612.344,85.26,56.84,81.00,72.47,81.00,63.63,62.53,82.42,82.42,Franke,
FRANKE-133.0612.347,Franke Handle FILTER : CHROME - 133.0612.347,49.56,33.04,47.08,42.13,47.08,37.45,36.35,47.91,47.91,Franke,
FRANKE-133.0612.350,Franke Handle FILTER : SILKSTEEL - 133.0612.350,41.08,27.38,39.02,34.91,39.02,31.22,30.12,39.71,39.71,Franke,
FRANKE-133.0612.381,Franke Handle HOT : MATT BLACK - 133.0612.381,41.08,27.38,39.02,34.91,39.02,31.22,30.12,39.71,39.71,Franke,
FRANKE-133.0612.382,Franke Handle COLD : MATT BLACK - 133.0612.382,41.08,27.38,39.02,34.91,39.02,31.22,30.12,39.71,39.71,Franke,
